Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Sweet Escalier;Tanzania;Blend;Japan;Tanzania;75;fatty, sour, off notes;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Ambolikapiky;Trinitario;Hungary;Madagascar;70;sour orange, fatty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Autumn, Primary Harvest, 2012;Criollo;Hungary;Madagascar;70;light color, sandy, fruity;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;"Ayacucho, ""El Guinacho""";0;Hungary;Peru;70;sweet, spicy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Baracoa;Trinitario;Hungary;Cuba;70;sandy, banana;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Baracoa;Trinitario;Hungary;Cuba;88;rustic, spicy, earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Ben Tre, Mekong Delta;Trinitario;Hungary;Vietnam;70;smokey, mild citrus;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Cacao Blanco;0;Hungary;Nicaragua;70;sour milk, hot cocoa;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Crudo;0;Hungary;Venezuela;70;rustic, sugar dominates;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Fazenda Sempre Firme, Bahia;Forastero;Hungary;Brazil;70;rustic, earthy, tea;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Millot Plantation;0;Hungary;Madagascar;70;rustic, bright fruit;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Nacional;0;Hungary;Ecuador;70;sweet, brownie, sour;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Porcelana;Criollo;Hungary;Venezuela;70;sandy, earthy, spice, nutty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Santo Domingo;0;Hungary;Dominican Republic;70;rustic, large unground pieces;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Spring, Secondary Harvest, 2012;Criollo;Hungary;Madagascar;70;dark color, sandy, fruity;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Szanto Tibor;Winak, Sumaco;Nacional;Hungary;Ecuador;70;coarse, spicy cinnamon;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tabal;Chiapas, Lacandon Jungle, batch 95;0;U.S.A.;Mexico;70;vanilla, fuel, earthy;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tabal;Costa Rica, batch 83;0;U.S.A.;Costa Rica;70;licorice, dried fruit, burnt fuel;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tabal;Dominican Republic;0;U.S.A.;Dominican Republic;70;oily, cardboard, sour;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tabal;Peru, batch 96;0;U.S.A.;Peru;70;vanilla, fatty, vegetal, mint;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tablette (aka Vanillabeans);Colombia;0;Japan;Colombia;70;flat, smoke, marshmallow;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Tablette (aka Vanillabeans);Papua;0;Japan;Papua New Guinea;62;creamy, smoke, ham;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Tablette (aka Vanillabeans);Trinidad;Trinitario;Japan;Trinidad;77;intense, grassy, smokey;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Tablette (aka Vanillabeans);Vietnam;Trinitario;Japan;Vietnam;60;vanilla, butter, caramel;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Tala;Vietnam;Trinitario;Vietnam;Vietnam;75;intense cocoa, fatty, sticky;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tala;Vietnam;Trinitario;Vietnam;Vietnam;70;cocoa,sweet,fatty, cardboard;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tan Ban Skrati;Paramaribo, batch 20160043-01;Trinitario;Suriname;Suriname;70;earthy, floral, dry;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Taste Artisan;Amazonas;Trinitario;U.S.A.;Peru;75;blackberry, dirt, high roast;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taste Artisan;Chuao, batch 20170714C;Trinitario;U.S.A.;Venezuela;75;vanilla, fatty;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Taste Artisan;Piura;Trinitario;U.S.A.;Peru;75;fig;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taucherli;Mexico;Trinitario;Switzerland;Mexico;70;nutty, fruit, sour, floral;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taucherli;Nicaragua;Trinitario;Switzerland;Nicaragua;72;nutty, off, roasty, fatty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taza;Alto Beni;0;U.S.A.;Bolivia;87;grainy, blueberries, bitter;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taza;Belize;Trinitario;U.S.A.;Belize;68;coarse, watering, sweet;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taza;Chiapan;0;U.S.A.;Mexico;75;rustic, sweet, earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Taza;Dark, Stone Ground;0;U.S.A.;Dominican Republic;70;sandy, sour banana, sweet;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
TCHO;Chocolatey-beta;Forastero;U.S.A.;Ghana;70;gritty,sweet,swiss miss,vanilla;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TCHO;Citrus-beta;0;U.S.A.;Madagascar;70;dry, red berry, off note;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TCHO;Fruity-beta;0;U.S.A.;Peru;70;tangy, off, musty, sour;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TCHO;Nutty-beta;0;U.S.A.;Peru;70;dry, musty, flat;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TCHO;Peru, Ecuador;0;U.S.A.;Blend;99;spicy, ginger, bitter;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
TCHO;TCHOPro 60.5;0;U.S.A.;Blend;60;tea, sweet, astringent;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TCHO;TCHOPro 68;0;U.S.A.;Blend;68;nutty, candy-like;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TCHO;West Africa;Forastero;U.S.A.;Blend;62;strong vanilla, sweet, fatty;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Tejas;Aranama;0;U.S.A.;Papua New Guinea;70;molasses, caramel, fruity;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;Bahia, Floresta Azul,Good Friends Reserve#3;Forastero;U.S.A.;Brazil;70;honey, pepper, charcoal;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
