name;Street;number;postcode;city;Country
Ariqua Denis;Rue Brun;8;5300;Andenne;Belgium
La Cabosse d'Or;Rue la Hutte;13;1474;Ways;Belgium
DOM - Pulle;Dennenlaan;33;2243;Pulle;Belgium
DOM - Lier;Grote Markt;70;2500;Lier;Belgium
The Cacao Tree;Brusselsesteenweg;47;3080;Tervuren;Belgium
Calinor;Capronstraat;28;8900;Ieper;Belgium
Calinor;Boterstraat;16;8900;Ieper;Belgium
Van Nueten;Rederskaai;22;8380;Zeebrugge;Belgium
Chocolate Nation;Koningin Astridplein;7;2018;Antwerpen;Belgium
